SINTA_ID;Nama;Universitas;Departemen;SINTA_Score_Overall;SINTA_Score_3Yr;Affil_Score;Affil_Score_3Yr;Scopus_Artikel;Scopus_Citation;Scopus_H_Index;GScholar_Artikel;GScholar_Citation;GScholar_H_Index;WOS_Artikel;WOS_Citation;WOS_H_Index
6035420;MENALDI RASMIN;Universitas Indonesia;Sp-1 - Ilmu Penyakit Paru;1.901;1.660;1.901;1.660;24;1694;6;84;258;8;0;0;
259819;ACHMAD NIZAR HIDAYANTO;Universitas Indonesia;S1 - Sistem Informasi;9.461;1.434;9.461;1.434;413;2154;19;519;4700;30;131;538;11
5987081;YOKI YULIZAR;Universitas Indonesia;S2 - Ilmu Kimia;4.535;1.397;4.535;1.397;116;1326;24;176;1637;25;80;871;19
6010622;MOHAMMED ALI BERAWI;Universitas Indonesia;S2 - Teknik Sipil;7.765;1.388;7.765;1.388;181;1521;18;271;3274;27;132;1054;14
6027567;ENY KUSRINI;Universitas Indonesia;S1 - Teknik Kimia;7.391;1.334;7.391;1.334;163;1337;17;240;1869;21;145;1097;15
258995;DIPO ALDILA;Universitas Indonesia;S2 - Matematika;3.382;1.217;3.382;1.217;113;879;16;145;1231;18;64;415;10
6004072;HERDIS HERDIANSYAH;Universitas Indonesia;S2 - Ilmu Lingkungan;3.729;1.187;3.729;1.187;141;254;9;200;677;14;70;92;5
5982895;MUHAMAD SAHLAN;Universitas Indonesia;S1 - Teknologi Bioproses;5.303;1.185;5.303;1.185;191;993;17;296;1550;21;0;0;0
5986130;YUDAN WHULANZA;Universitas Indonesia;S1 - Teknik Mesin;4.313;1.133;4.313;1.133;95;573;14;154;810;15;74;399;12
6758983;MUHAMMAD ARIF BUDIYANTO;Universitas Indonesia;S1 - Teknik Perkapalan;2.327;1.107;2.327;1.107;73;451;14;111;712;16;48;233;9
5986328;DANA INDRA SENSUSE;Universitas Indonesia;S2 - Teknologi Informasi;5.811;1.102;5.811;1.102;264;868;12;439;3409;28;0;0;
5987693;ALHADI BUSTAMAM;Universitas Indonesia;S2 - Matematika;4.120;1.083;4.120;1.083;147;743;13;185;1103;16;98;333;9
6059011;ZUHERMAN RUSTAM;Universitas Indonesia;Unknown;4.048;1.071;4.048;1.071;157;993;17;209;1447;22;70;244;8
6027493;SUGENG SUPRIADI;Universitas Indonesia;S1 - Teknik Mesin;4.090;1.061;4.090;1.061;118;461;11;200;730;14;35;157;8
6018026;PUTU WURI HANDAYANI;Universitas Indonesia;S2 - Teknologi Informasi;4.048;1.033;4.048;1.033;155;756;15;219;2187;24;0;0;10
5977168;RIRI FITRI SARI;Universitas Indonesia;Profesi - Pendidikan Profesi Insinyur;5.967;1.027;5.967;1.027;212;1097;14;372;2145;20;152;596;10
258992;HARRY BUDI SANTOSO;Universitas Indonesia;S3 - Ilmu Komputer;5.280;1.018;5.280;1.018;178;917;14;290;2578;23;105;285;9
6033967;NASRUDDIN;Universitas Indonesia;S2 - Teknik Mesin;5.511;961;5.511;961;195;1561;20;320;2058;23;94;853;15
6033221;AMALIA SUZIANTI;Universitas Indonesia;S3 - Teknik Industri;2.904;958;2.904;958;94;223;7;143;489;12;43;62;3
42612;INDRA BUDI;Universitas Indonesia;S1 - Sistem Informasi;4.325;943;4.325;943;160;1090;16;236;2682;23;70;476;12
258251;MUNAWAR KHALIL;Universitas Indonesia;S1 - Kimia;3.438;940;3.438;940;90;1285;19;110;1621;20;60;1047;17
6032942;KUSMARDI;Universitas Indonesia;Unknown;2.754;938;2.754;938;83;210;8;151;343;9;0;0;
5982444;IRWANSYAH;Universitas Indonesia;S2 - Ilmu Komunikasi;2.353;931;2.353;931;39;51;5;680;2601;22;16;14;2
6035469;CATUR APRIONO;Universitas Indonesia;S2 - Teknik Elektro;2.610;925;2.610;925;108;281;9;160;433;11;51;83;6
6649961;SUPRIATNA;Universitas Indonesia;S2 - Geografi;2.644;920;2.644;920;126;259;7;145;514;10;19;33;3
5989579;FATMA LESTARI;Universitas Indonesia;S2 - Keselamatan dan Kesehatan Kerja;2.731;918;2.731;918;65;269;9;280;844;15;51;199;8
5999578;IVANDINI T ANGGRANINGRUM;Universitas Indonesia;S3 - Ilmu Kimia;4.971;913;4.971;913;145;2673;30;185;3290;32;95;2248;27
6030565;MISRI;Universitas Indonesia;Profesi - Pendidikan Profesi Insinyur;4.698;895;4.698;895;161;814;16;283;1702;21;82;412;11
6031633;EVY YUNIHASTUTI;Universitas Indonesia;Sp-2 - Ilmu Penyakit Dalam;3.360;893;3.360;893;127;2950;21;213;7038;27;126;2558;20
5998838;NANDY SETIADI DJAYA PUTRA;Universitas Indonesia;S2 - Teknik Mesin;7.921;888;7.921;888;154;6828;27;250;9594;28;123;5752;22
