"PSTV04","PSTV05","PSTV06","PSTV07","PSTV08","PSTV09","PSTV10","PSTV11","PSTV12","PSTV13","PSTV14","UHH"
1,1,1,1,1,12,1213,8,2,12,1275,58
1,1,1,1,1,31,3171,2,1,31,3171,81
1,1,1,1,1,31,3172,7,2,31,3172,68
1,1,1,1,1,31,3175,3,1,31,3175,64
1,1,1,1,1,32,3273,3,1,32,3273,75
1,1,1,1,1,33,3301,3,1,33,3301,72
1,1,1,1,1,34,3471,3,1,34,3471,68
1,1,1,1,1,35,3521,3,1,35,3521,82
1,1,1,1,1,35,3578,9,2,32,3273,69
1,1,1,1,1,61,6171,3,1,61,6171,68
1,1,1,1,4,14,1471,9,2,14,1471,65
1,1,1,1,4,15,1571,9,2,15,1571,43
1,1,1,1,4,16,1671,9,2,16,1671,28
1,1,1,1,4,21,2101,9,2,21,2171,60
1,1,1,1,4,21,2171,9,2,21,2171,33
1,1,1,1,4,31,3171,9,2,31,3171,64
1,1,1,1,4,31,3172,3,1,31,3172,82
1,1,1,1,4,31,3172,9,2,32,3275,39
1,1,1,1,4,31,3174,3,1,31,3174,73
1,1,1,1,4,32,3201,3,1,32,3201,66
1,1,1,1,4,32,3201,9,2,32,3201,44
1,1,1,1,4,32,3204,3,1,32,3204,71
1,1,1,1,4,32,3215,9,2,32,3215,54
1,1,1,1,4,32,3272,3,1,32,3272,66
1,1,1,1,4,33,3308,3,1,33,3308,32
1,1,1,1,4,33,3310,9,3,33,3310,82
1,1,1,1,4,33,3313,3,1,33,3313,70
1,1,1,1,4,33,3321,9,2,33,3321,64
1,1,1,1,4,33,3325,3,1,33,3325,55
1,1,1,1,4,33,3325,9,2,33,3325,55
1,1,1,1,4,33,3329,3,1,33,3329,55
1,1,1,1,4,33,3371,9,2,33,3371,58
1,1,1,1,4,33,3372,3,1,33,3372,74
1,1,1,1,4,35,3514,3,1,35,3514,62
1,1,1,1,4,35,3515,9,2,36,3674,69
1,1,1,1,4,35,3521,3,1,35,3521,48
1,1,1,1,4,35,3578,3,1,35,3578,62
1,1,1,1,4,36,3674,3,1,36,3674,60
1,1,1,1,4,36,3674,9,2,33,3313,49
1,1,1,1,4,53,5371,9,2,53,5371,64
1,1,1,1,4,61,6171,3,1,35,3505,61
1,1,1,1,4,63,6371,9,2,63,6371,63
1,1,1,1,4,72,7271,3,1,72,7271,62
1,1,1,1,4,73,7371,3,1,73,7371,70
1,1,1,1,4,73,7373,3,1,73,7373,59
1,1,1,1,4,81,8101,3,1,31,3173,52
1,1,1,1,5,14,1409,8,2,14,1406,56
1,1,1,1,5,16,1671,3,1,16,1671,54
1,1,1,1,5,18,1807,9,2,18,1871,59
1,1,1,1,5,21,2171,9,2,21,2171,73
1,1,1,1,5,31,3171,3,1,31,3174,54
1,1,1,1,5,31,3172,9,2,31,3172,46
1,1,1,1,5,31,3173,9,2,32,3275,54
1,1,1,1,5,32,3201,9,2,32,3271,61
1,1,1,1,5,32,3209,8,2,35,3513,52
1,1,1,1,5,33,3305,9,2,32,3201,30
1,1,1,1,5,33,3306,9,3,33,3306,45
1,1,1,1,5,33,3311,9,3,33,3372,43
1,1,1,1,5,33,3313,9,2,34,3403,33
1,1,1,1,5,34,3471,9,2,34,3471,66
1,1,1,1,5,35,3501,3,1,35,3515,55
1,1,1,1,5,35,3515,9,2,35,3515,48
1,1,1,1,5,35,3518,9,3,35,3506,50
1,1,1,1,5,35,3522,3,1,35,3522,55
1,1,1,1,5,35,3578,9,2,35,3578,49
1,1,1,1,5,36,3603,9,2,36,3603,45
1,1,1,1,5,51,5171,9,3,51,5171,53
1,1,1,1,5,63,6371,3,1,63,6371,73
1,1,1,1,5,73,7304,3,1,73,7304,55
1,1,1,1,5,74,7410,3,1,74,7410,67
1,1,1,2,1,11,1114,8,2,12,1218,60
1,1,1,2,1,11,1114,9,2,12,1209,61
1,1,1,2,1,11,1173,3,1,11,1173,63
1,1,1,2,1,12,1209,8,2,12,1218,65
1,1,1,2,1,12,1218,3,1,12,1209,67
1,1,1,2,1,12,1218,8,2,12,1209,67
1,1,1,2,1,12,1222,8,2,12,1212,55
1,1,1,2,1,12,1274,8,2,12,1218,55
1,1,1,2,1,13,1307,3,1,13,1307,78
1,1,1,2,1,34,3402,9,2,34,3471,78
1,1,1,2,1,35,3571,9,2,35,3506,75
1,1,1,2,1,73,7371,9,2,73,7371,82
1,1,1,2,1,99,9999,9,2,35,3515,74
1,1,1,2,4,12,1204,3,1,12,1204,67
1,1,1,2,4,12,1271,9,3,12,1271,53
1,1,1,2,4,14,1408,9,2,14,1408,63
1,1,1,2,4,19,1971,9,3,19,1971,48
1,1,1,2,4,31,3172,3,1,31,3172,54
1,1,1,2,4,31,3172,9,2,31,3172,64
1,1,1,2,4,31,3173,9,2,31,3173,24
1,1,1,2,4,31,3174,3,1,31,3174,73
1,1,1,2,4,32,3201,9,2,32,3201,50
1,1,1,2,4,32,3204,3,1,32,3204,68
1,1,1,2,4,32,3273,8,2,32,3273,34
1,1,1,2,4,33,3311,9,2,33,3311,45
1,1,1,2,4,33,3318,3,1,33,3318,44
1,1,1,2,4,33,3374,9,2,33,3374,68
1,1,1,2,4,34,3401,3,1,34,3401,53
1,1,1,2,4,34,3404,3,1,34,3404,50
1,1,1,2,4,35,3506,9,2,35,3506,53
1,1,1,2,4,35,3515,3,1,35,3578,51
1,1,1,2,4,35,3525,9,2,35,3525,64
1,1,1,2,4,35,3573,3,1,35,3573,50
1,1,1,2,4,35,3578,3,1,35,3578,70
1,1,1,2,4,35,3578,9,2,35,3578,73
1,1,1,2,4,36,3603,3,1,36,3603,64
1,1,1,2,4,36,3603,9,2,36,3603,64
1,1,1,2,4,36,3672,9,2,36,3672,24
1,1,1,2,4,61,6172,9,2,61,6172,52
1,1,1,2,4,71,7171,3,1,71,7171,48
1,1,1,2,4,72,7271,3,1,72,7271,59
1,1,1,2,5,12,1208,8,2,12,1208,53
1,1,1,2,5,12,1218,8,2,12,1218,46
1,1,1,2,5,12,1221,9,2,12,1221,49
1,1,1,2,5,12,1275,9,2,12,1275,52
1,1,1,2,5,14,1471,9,2,14,1471,48
1,1,1,2,5,16,1601,3,1,16,1601,29
1,1,1,2,5,31,3172,9,2,31,3172,46
1,1,1,2,5,31,3173,9,2,32,3275,54
1,1,1,2,5,31,3174,4,2,31,3171,56
1,1,1,2,5,32,3201,9,2,32,3271,61
1,1,1,2,5,32,3217,9,3,17,1771,65
1,1,1,2,5,32,3218,3,1,32,3218,50
1,1,1,2,5,33,3305,9,2,32,3201,30
1,1,1,2,5,33,3311,3,1,33,3311,46
1,1,1,2,5,35,3501,3,1,35,3515,55
1,1,1,2,5,35,3502,3,1,35,3502,63
1,1,1,2,5,35,3509,9,2,35,3509,34
1,1,1,2,5,35,3578,6,2,35,3578,52
1,1,1,2,5,51,5106,9,3,51,5106,39
1,1,1,2,5,63,6309,8,2,63,6309,54
1,1,1,2,5,71,7108,3,1,71,7108,38
1,1,1,2,5,73,7318,3,1,73,7318,54
1,1,1,3,2,11,1114,3,1,11,1114,69
1,1,1,3,2,11,1114,3,1,11,1171,69
1,1,1,3,2,11,1117,3,1,11,1117,47
1,1,1,3,2,13,1305,3,1,13,1305,68
1,1,1,3,2,13,1373,3,1,13,1373,46
1,1,1,3,2,14,1404,3,1,14,1404,66
1,1,1,3,2,18,1804,3,1,18,1804,51
1,1,1,3,2,18,1813,3,1,32,3216,44
1,1,1,3,2,18,1871,3,1,18,1871,14
1,1,1,3,2,31,3172,3,1,31,3172,58
1,1,1,3,2,31,3173,3,1,31,3173,57
1,1,1,3,2,32,3206,3,1,32,3206,60
1,1,1,3,2,33,3302,3,1,33,3302,53
1,1,1,3,2,33,3306,3,1,33,3306,47
1,1,1,3,2,33,3321,3,1,33,3321,48
1,1,1,3,2,33,3322,3,1,33,3322,62
1,1,1,3,2,33,3327,3,1,33,3327,58
1,1,1,3,2,33,3373,3,1,33,3373,60
1,1,1,3,2,34,3402,3,1,34,3402,68
1,1,1,3,2,35,3502,3,1,35,3502,57
1,1,1,3,2,35,3515,3,1,35,3515,65
1,1,1,3,2,35,3576,3,1,35,3576,61
1,1,1,3,2,35,3578,3,1,35,3578,64
1,1,1,3,2,35,3578,9,2,35,3578,51
1,1,1,3,2,51,5104,3,1,51,5104,65
1,1,1,3,2,51,5105,3,1,51,5105,76
1,1,1,3,2,52,5272,3,1,52,5272,49
1,1,1,3,2,62,6209,3,1,62,6209,63
1,1,1,3,2,63,6372,9,2,63,6372,32
1,1,1,3,2,75,7504,3,1,75,7504,47
1,1,1,3,3,11,1103,3,1,11,1103,31
1,1,1,3,3,11,1105,3,1,11,1105,70
1,1,1,3,3,11,1111,3,1,11,1111,31
1,1,1,3,3,11,1173,9,2,11,1173,25
1,1,1,3,3,11,1174,3,1,11,1174,37
1,1,1,3,3,12,1271,3,1,12,1271,33
1,1,1,3,3,12,1275,3,1,12,1275,61
1,1,1,3,3,13,1306,3,1,13,1306,49
1,1,1,3,3,13,1307,3,1,13,1307,89
1,1,1,3,3,13,1371,3,1,13,1371,62
1,1,1,3,3,13,1373,3,1,13,1373,46
1,1,1,3,3,14,1401,3,1,14,1401,55
1,1,1,3,3,14,1404,3,1,14,1404,66
1,1,1,3,3,14,1471,3,1,14,1471,67
1,1,1,3,3,19,1902,3,1,19,1902,61
1,1,1,3,3,19,1904,3,1,19,1904,49
1,1,1,3,3,31,3171,2,1,31,3171,62
1,1,1,3,3,31,3172,3,1,31,3172,62
1,1,1,3,3,31,3173,2,1,31,3171,48
1,1,1,3,3,31,3173,3,1,31,3173,60
1,1,1,3,3,31,3174,3,1,31,3174,63
1,1,1,3,3,31,3175,3,1,31,3175,52
1,1,1,3,3,32,3273,3,1,32,3273,64
1,1,1,3,3,32,3276,3,1,32,3276,60
1,1,1,3,3,33,3326,3,1,33,3326,55
1,1,1,3,3,33,3375,3,1,33,3375,54
1,1,1,3,3,34,3404,3,1,34,3404,66
1,1,1,3,3,34,3471,3,1,34,3471,49
1,1,1,3,3,35,3502,3,1,35,3502,57
