"Provinsi","Jumlah Desa","KODE"
"Aceh",6516,11
"Sumatera Utara",6132,12
"Sumatera Barat",1159,13
"Riau",1876,14
"Jambi",1562,15
"Sumatera Selatan",3289,16
"Bengkulu",1514,17
"Lampung",2654,18
"Kepulauan Bangka Belitung",393,19
"Kepulauan Riau",417,21
"DKI Jakarta",267,31
"Jawa Barat",5957,32
"Jawa Tengah",8562,33
"DI Yogyakarta",438,34
"Jawa Timur",8496,35
"Banten",1552,36
"Bali",716,51
"Nusa Tenggara Barat",1152,52
"Nusa Tenggara Timur",3353,53
"Kalimantan Barat",2137,61
"Kalimantan Tengah",1576,62
"Kalimantan Selatan",2007,63
"Kalimantan Timur",1038,64
"Kalimantan Utara",482,65
"Sulawesi Utara",1840,71
"Sulawesi Tengah",2020,72
"Sulawesi Selatan",3051,73
"Sulawesi Tenggara",2309,74
"Gorontalo",734,75
"Sulawesi Barat",650,76
"Maluku",1248,81
"Maluku Utara",1199,82
"Papua Barat",1987,91
"Papua",5560,92
"Indonesia",83843,0
