"data1$Provinsi","Tidak Ada Bencana Alam","Kekeringan","Kebakaran Hutan","Gunung Meletus","Angin Puyuh / Angin Puting Beliung / Topan","Gelombang Pasang Laut","Tsunami","Gempa Bumi","Banjir Bandang","Banjir","Tanah Longsor"
"ACEH",67.62,2.66,0.66,0.02,1.66,1.63,0.03,7.57,1.24,22.02,3.04
"SUMATERA UTARA",62.41,2.07,0.96,1.34,7.88,1.27,0.07,15.72,0.85,11.94,7.88
"SUMATERA BARAT",44.26,3.71,1.55,0,21.4,4.92,0,31.41,5.61,29.51,19.15
"RIAU",65.25,2.72,10.34,0,2.83,0.8,0,0,0.05,24.25,1.12
"JAMBI",64.08,1.02,1.02,0,2.82,0.13,0,2.3,1.09,30.47,3.65
"SUMATERA SELATAN",80.39,2.98,1.95,0,2.74,0.09,0,1.49,1.09,11.55,3.13
"BENGKULU",78.93,1.25,0.26,0,1.12,0.92,0,4.36,0.99,11.29,5.35
"LAMPUNG",78.86,1.13,0.41,0,5.95,1.32,0,1.77,0.87,12.36,2.64
"KEP. BANGKA BELITUNG",67.43,0,3.56,0,19.59,4.33,0,0,0,15.01,0.25
"KEP. RIAU",57.79,6.47,13.67,0,9.59,16.55,0,0,0.24,14.63,6
"DKI JAKARTA",56.93,0,0.37,0,0,1.87,0,0.37,0,40.82,2.62
"JAWA BARAT",51.72,7.42,1.28,0,6.92,1.53,0,10.09,1.68,20.03,21.62
"JAWA TENGAH",65.84,3.25,0.57,0.3,7.23,1.49,0,1.33,0.81,14.59,13.9
"DI YOGYAKARTA",53.2,7.08,0.91,0.68,19.18,2.74,0,11.87,0.23,11.42,13.47
"JAWA TIMUR",54.79,1.84,0.59,0.87,5.72,1.02,0.05,28.83,1.13,13.84,6.01
"BANTEN",58.89,4.96,0.52,0,6.89,2.51,0.06,10.18,2.64,27,6.19
"BALI",67.32,0.28,1.12,0,6.42,4.75,0,11.03,0.7,5.45,14.66
"NUSA TENGGARA BARAT",64.93,7.64,1.65,0,5.64,3.82,0,8.68,4.69,16.23,3.82
"NUSA TENGGARA TIMUR",44.35,13.54,4.29,1.61,36.36,6.5,0,7.34,4.5,17,18.19
"KALIMANTAN BARAT",54.19,3.51,6.32,0,2.48,2.25,0,0,1.03,40.43,3.09
"KALIMANTAN TENGAH",50.06,2.35,4.19,0,1.02,0.76,0,0,0.57,46.64,1.52
"KALIMANTAN SELATAN",48.48,1.74,2.99,0,3.49,1.49,0,0,1.54,46.29,3.69
"KALIMANTAN TIMUR",60.5,3.08,5.01,0,2.5,0.87,0,0.58,0.48,33.04,7.13
"KALIMANTAN UTARA",51.45,1.24,2.7,0,0.62,0.62,0,3.73,0,41.49,8.71
"SULAWESI UTARA",58.42,1.3,1.36,0,5.82,5.16,0,18.97,2.01,15.65,11.85
"SULAWESI TENGAH",48.71,2.08,1.44,0,4.21,5.79,0,27.52,2.82,28.07,6.58
"SULAWESI SELATAN",61.06,1.97,0.72,0,9.6,1.28,0,8.92,1.7,20.32,8.23
"SULAWESI TENGGARA",80.21,0.69,0.52,0,4.5,2.51,0,1.86,0.43,10.39,1.99
"GORONTALO",47.96,7.77,1.23,0,4.63,5.04,0,12.94,3.27,35.29,8.86
"SULAWESI BARAT",16.15,3.38,1.23,0,4,5.38,0,76.62,1.08,19.23,22.15
"MALUKU",63.94,2.08,2.08,0,4.33,13.22,0,8.49,0.16,12.26,4.65
"MALUKU UTARA",35.28,1,1.33,0.08,3.5,10.34,0,49.12,1.67,22.52,6.67
"PAPUA BARAT",74.58,0.25,0.6,0,0.3,1.51,0,16,0,6.95,3.62
"PAPUA",92.48,0.16,0.25,0,0.2,1.03,0,1.03,0.16,3.67,2.63
"INDONESIA",62.82,3.07,1.6,0.29,6.3,2.28,0.01,10.41,1.3,18.33,7.95
